id,source,holder,collection,title,title_alt,authors,date,years,kind,shelfmark,manifest,page,rights,work,book,match,notes
sbb:1039289207,sbb:unschuld,Staatsbibliothek zu Berlin,Sammlung Unschuld,針穴考正穴法,[Textual research on the [location] patterns of [insertion] holes],,Early republican era,,写,Slg. Unschuld 8398,https://content.staatsbibliothek-berlin.de/dc/PPN1868881229/manifest,https://digital.staatsbibliothek-berlin.de/werkansicht?PPN=PPN1868881229,Public Domain Mark 1.0（数字化影像）,,,,主题：Acupuncture
sbb:1039289215,sbb:unschuld,Staatsbibliothek zu Berlin,Sammlung Unschuld,太乙神針,[Wondrous needle of Taiyi],,1874,1874,写,Slg. Unschuld 8399,https://content.staatsbibliothek-berlin.de/dc/PPN1868881369/manifest,https://digital.staatsbibliothek-berlin.de/werkansicht?PPN=PPN1868881369,Public Domain Mark 1.0（数字化影像）,,,,主题：Moxibustion
sbb:1039289223,sbb:unschuld,Staatsbibliothek zu Berlin,Sammlung Unschuld,挑選針灸指要,[Carefully selected advise on the essentials of acupuncture and moxibustion],,Early republican era,,写,Slg. Unschuld 8400,https://content.staatsbibliothek-berlin.de/dc/PPN1799845397/manifest,https://digital.staatsbibliothek-berlin.de/werkansicht?PPN=PPN1799845397,Public Domain Mark 1.0（数字化影像）,,,,主题：Acupuncture
sbb:1039289231,sbb:unschuld,Staatsbibliothek zu Berlin,Sammlung Unschuld,稱心抄錄,[[Zhang] Chengxin's hand-copied records],,1953,1953,写,Slg. Unschuld 8401,https://content.staatsbibliothek-berlin.de/dc/PPN1868881512/manifest,https://digital.staatsbibliothek-berlin.de/werkansicht?PPN=PPN1868881512,Public Domain Mark 1.0（数字化影像）,,,,主题：Acupuncture
sbb:103928924X,sbb:unschuld,Staatsbibliothek zu Berlin,Sammlung Unschuld,靜心靈符,[Wondrous amulets to calm the mind],,Late Qing,,写,Slg. Unschuld 8402,https://content.staatsbibliothek-berlin.de/dc/PPN1868881652/manifest,https://digital.staatsbibliothek-berlin.de/werkansicht?PPN=PPN1868881652,Public Domain Mark 1.0（数字化影像）,,,,主题：Apotropaics
sbb:1039289258,sbb:unschuld,Staatsbibliothek zu Berlin,Sammlung Unschuld,五釐記,[The five pinches notes],,Early republican era,,写,Slg. Unschuld 8403,https://content.staatsbibliothek-berlin.de/dc/PPN1871777666/manifest,https://digital.staatsbibliothek-berlin.de/werkansicht?PPN=PPN1871777666,Public Domain Mark 1.0（数字化影像）,,,,主题：Apotropaics
sbb:1039289266,sbb:unschuld,Staatsbibliothek zu Berlin,Sammlung Unschuld,弧角天星,[The hu and jiao star constellations],,1911,1911,写,Slg. Unschuld 8404,https://content.staatsbibliothek-berlin.de/dc/PPN1871778530/manifest,https://digital.staatsbibliothek-berlin.de/werkansicht?PPN=PPN1871778530,Public Domain Mark 1.0（数字化影像）,,,,主题：Calculation of fate
sbb:1039289274,sbb:unschuld,Staatsbibliothek zu Berlin,Sammlung Unschuld,五星合參,[The five stars consulted jointly],,1866–1910,1866-1910,写,Slg. Unschuld 8408,https://content.staatsbibliothek-berlin.de/dc/PPN1681623870/manifest,https://digital.staatsbibliothek-berlin.de/werkansicht?PPN=PPN1681623870,Public Domain Mark 1.0（数字化影像）,,,,主题：Apotropaics/fortune telling
sbb:1039289282,sbb:unschuld,Staatsbibliothek zu Berlin,Sammlung Unschuld,[醫案抄],[Hand-copied medical case histories],,Early republican era,,写,Slg. Unschuld 8409,https://content.staatsbibliothek-berlin.de/dc/PPN1872314228/manifest,https://digital.staatsbibliothek-berlin.de/werkansicht?PPN=PPN1872314228,Public Domain Mark 1.0（数字化影像）,,,,主题：Medical case histories
sbb:1039289290,sbb:unschuld,Staatsbibliothek zu Berlin,Sammlung Unschuld,[臨證備要],[To be equipped with the essential for clinical situations],,Second half of 20th century,,写,Slg. Unschuld 8411,https://content.staatsbibliothek-berlin.de/dc/PPN187231497X/manifest,https://digital.staatsbibliothek-berlin.de/werkansicht?PPN=PPN187231497X,Public Domain Mark 1.0（数字化影像）,,,,主题：Basic theory
sbb:1039289304,sbb:unschuld,Staatsbibliothek zu Berlin,Sammlung Unschuld,[藥方抄],[Hand-copied pharmaceutical recipes],,Early republican era,,写,Slg. Unschuld 8414,,https://stabikat.de/Record/1039289304,未数字化,,,,主题：Medical prescriptions. Gynecology
sbb:1039289312,sbb:unschuld,Staatsbibliothek zu Berlin,Sammlung Unschuld,[藥方雜抄],[Hand-copied miscellaneous pharmaceutical recipes],,1880,1880,写,Slg. Unschuld 8415,https://content.staatsbibliothek-berlin.de/dc/PPN1872315909/manifest,https://digital.staatsbibliothek-berlin.de/werkansicht?PPN=PPN1872315909,Public Domain Mark 1.0（数字化影像）,,,,主题：Medical prescriptions
sbb:1039289320,sbb:unschuld,Staatsbibliothek zu Berlin,Sammlung Unschuld,妙術精華,[The quintessence of a wondrous art],,Late Qing era,,写,Slg. Unschuld 8418,,https://stabikat.de/Record/1039289320,未数字化,,,,主题：Basic theory
sbb:1039289339,sbb:unschuld,Staatsbibliothek zu Berlin,Sammlung Unschuld,外科全書,[Complete book on external medicine],,1904,1904,写,Slg. Unschuld 8419,https://content.staatsbibliothek-berlin.de/dc/PPN1678663883/manifest,https://digital.staatsbibliothek-berlin.de/werkansicht?PPN=PPN1678663883,Public Domain Mark 1.0（数字化影像）,,,,主题：External medicine
sbb:1039289347,sbb:unschuld,Staatsbibliothek zu Berlin,Sammlung Unschuld,針灸圖,[Acupuncture/moxibustion charts],,1912,1912,写,Slg. Unschuld 8421,https://content.staatsbibliothek-berlin.de/dc/PPN1688510184/manifest,https://digital.staatsbibliothek-berlin.de/werkansicht?PPN=PPN1688510184,Public Domain Mark 1.0（数字化影像）,,,,主题：Acupuncture
sbb:1039289355,sbb:unschuld,Staatsbibliothek zu Berlin,Sammlung Unschuld,小兒科,[Pediatrics],,1895,1895,写,Slg. Unschuld 8423,https://content.staatsbibliothek-berlin.de/dc/PPN1688510745/manifest,https://digital.staatsbibliothek-berlin.de/werkansicht?PPN=PPN1688510745,Public Domain Mark 1.0（数字化影像）,,,,主题：Pediatrics. Tuina push-and-pull massage
sbb:1039289363,sbb:unschuld,Staatsbibliothek zu Berlin,Sammlung Unschuld,[診法雜抄],[Miscellaneous hand-copied notes on diagnostic patterns],,s.a.,,写,Slg. Unschuld 8424,https://content.staatsbibliothek-berlin.de/dc/PPN1688511644/manifest,https://digital.staatsbibliothek-berlin.de/werkansicht?PPN=PPN1688511644,Public Domain Mark 1.0（数字化影像）,,,,"主题：Diagnosis, basic theory"
sbb:1039289371,sbb:unschuld,Staatsbibliothek zu Berlin,Sammlung Unschuld,達生編,[Scripture to extend life],,"Late Qing, early republican era",,写,Slg. Unschuld 8426,https://content.staatsbibliothek-berlin.de/dc/PPN1872317073/manifest,https://digital.staatsbibliothek-berlin.de/werkansicht?PPN=PPN1872317073,Public Domain Mark 1.0（数字化影像）,jc:达生编,jc_g027,exact,主题：Gynecology-obstetrics
sbb:103928938X,sbb:unschuld,Staatsbibliothek zu Berlin,Sammlung Unschuld,選摘麻科撮要,[Essential quotes from the branch [of medicine] dealing with measles],,1911,1911,写,Slg. Unschuld 8432,https://content.staatsbibliothek-berlin.de/dc/PPN1851825657/manifest,https://digital.staatsbibliothek-berlin.de/werkansicht?PPN=PPN1851825657,Public Domain Mark 1.0（数字化影像）,,,,主题：Pediatrics
sbb:1039289398,sbb:unschuld,Staatsbibliothek zu Berlin,Sammlung Unschuld,[兒科雜抄],[Miscellaneous hand-copied notes on the specialty of pediatrics],,"end of Qing era, early republican era",,写,Slg. Unschuld 8434,,https://stabikat.de/Record/1039289398,未数字化,,,,主题：Pediatrics
